created_at,text,sentiment_polarity,sentiment_label
2022-08-06 08:00:11+00:00,Premarket trading involves low trading volumes For information visit us • • • • • forex trading trader stocks forextrader investing forextrading investment invest finance crypto bitcoin cryptocurrency blockchain money btc,0.0,Neutral
2022-08-06 08:00:10+00:00,strategy 5010HL1h atr20d 114323 06 Aug 2022 080009 UTC 🔄 None 170009 JST 234635 longentrytrigger gt 231920 lastprice BTCUSD 223710 shortentrytrigger BTCUSD perpetual contract BitMEX,0.0,Neutral
2022-08-06 08:00:09+00:00,BTCUSDT BTC 1D Support resistance levels Aug062022 crypto btc eth support resistance fibonnaci,0.0,Neutral
2022-08-06 08:00:09+00:00,Bitcoin Last Price 23202 BTC 🚀 Weekly Indicators •Variation since Monday 00h00UTC 04 •MACD MACD Line 5629 Signal Line 5463 Ethereum Last Price 1721 ETH •Variation 255 •MACD MACD Line 417 Signal Line 435 Blockchain Web3 56 191170,0.0,Neutral
2022-08-06 08:00:08+00:00,LunaGens 1000xgems ’ miss BRC20 BRISE BITGERT BRISECHAIN KISHUINU SHINJA SAITAMAINU PITBULL BTC ETHEREUM BINANCE CARDANO SOLANO DeFi BabyDoge catcoin shib dogecoin FTM AVAX FTM,0.0,Neutral
2022-08-06 08:00:08+00:00,I cut gon na short Top Bolli going blow top BTC,0.3333333333333333,Positive
2022-08-06 08:00:07+00:00,3GPtvVD9kc3C8mst3z7At32Ytz9qdkwrgS My BTC Address Please I Am Begging For Help My Debt Is Killing Me I Cant Take This Stress Anymore I Am Frustrated Because Of My Financial Condition I Have No Choice Any Amount huge Help Plz Help Me Please Just Once I Want Peace pls 🙏,-0.09999999999999996,Negative
2022-08-06 08:00:07+00:00,MarvinInu lover Join Marvinauts takeoff bnb BSCGem SS9inManila btc ETH,0.0,Neutral
2022-08-06 08:00:07+00:00,The Next SHIBA go upto 8000 2022 DGRN Bitcoin BTC,0.0,Neutral
2022-08-06 08:00:06+00:00,Congrats maloi14 winning GayFishPool Prize 48 COYE Join pool chance win FreeCrypto BTC CryptoCurrency DOGE SHIB Mining Coinye,0.65,Positive
2022-08-06 08:00:06+00:00,Three Words describe BTCpay 1 Secure 2 Reliable 3 Simple So try btcpay cryptocurrency bitcoin btc bitcoinpay crypto,0.2,Positive
2022-08-06 08:00:05+00:00,BTC 3HR UPDATE £BTC still struggling break resistance It forming descending channel LTF,0.0,Neutral
2022-08-06 08:00:05+00:00,In Progress Pos Current Profit BTC 00 ETH 00 ADA 00 SOL 00 XRP 00 BNB 00 DOGE 00 AVAX Short144 TRX 00 MATIC Short115 Binance,0.0,Neutral
2022-08-06 08:00:05+00:00,SRM Trend reversal 1h timeframe Last Price 000004450 Binance 24h Volume 5013 BTC BTC Binance SRM,0.0,Neutral
2022-08-06 08:00:04+00:00,Hi Thank follow I followed back Wish best always🙏 ferguso nft nfts nftart btc ETHEREUM,0.5,Positive
2022-08-06 08:00:04+00:00,RLC Trend reversal 4h timeframe Last Price 000004605 Binance 24h Volume 304 BTC BTC Binance RLC,0.0,Neutral
2022-08-06 08:00:03+00:00,LSK Trend reversal 4h timeframe Last Price 000005176 Binance 24h Volume 555 BTC BTC Binance LSK,0.0,Neutral
2022-08-06 08:00:03+00:00,ZIL Trend reversal 4h timeframe Last Price 000000204 Binance 24h Volume 11485 BTC BTC Binance ZIL,0.0,Neutral
2022-08-06 08:00:03+00:00,BLZUSDT BLZ Signal 2 Last Signal 234 mins ago Before 010620000 After 010660000 🟢038 Volume Chng 156658 USDT 713 Daily Price Chng 009🟢 Volume 689481 USDT 🚀PRO ➡️ 🐳 Crypto Bitcoin BTC ETH,0.0,Neutral
2022-08-06 08:00:03+00:00,Current Bitcoin Price USD 2320030 GBP £1938598 Euro €2260047 bitcoin btc btc btcusd btcgbp btceur crypto cryptocurrency,0.0,Neutral
2022-08-06 08:00:03+00:00,Bitcoin BTC Price 2320841 Change 1h 005252783 Market cap 44359706927018 Ranking 1 Bitcoin BTC,0.0,Neutral
2022-08-06 08:00:02+00:00,ZEC Trend reversal 4h timeframe Last Price 000296200 Binance 24h Volume 4589 BTC BTC Binance ZEC,0.0,Neutral
2022-08-06 08:00:01+00:00,Aug 06 2022 075900 UTC 2320030 2260050€ 1938600£ Bitcoin BTC BTC crypto financial news,0.0,Neutral
